code;region;
Ttcc-wt_IlavRivr3;Titicaca-watershed;
Ttcc-wt_SuchsRvr5;Titicaca-watershed;
Cusco_Cs-PLS-2;Cusco;
Cusco_C-PLS-13;Cusco;
Cusco_Cs-PLS-1;Cusco;
Cusco_C-PLS-11;Cusco;
Cusco_Cs-PLS-5;Cusco;
Cusco_Cs-PLS-7;Cusco;
Cusco_Cs-PLS-8;Cusco;
Cusco_Cusc-CH1;Cusco;
Cusco_Cs-PLS-6;Cusco;
Cusco_Cusc-DP1;Cusco;
Cusco_Cusc-YC1;Cusco;
Cusco_Cusc-IA1;Cusco;
Cusco_C-PLS-12;Cusco;
Cusco_Cs-PLS-3;Cusco;
Cusco_Cs-PLS-4;Cusco;
Cusco_Cs-PLS-9;Cusco;
Cusco_C-PLS-10;Cusco;
Ecdr-An_Apicocha;Ecuador-Andean;
Ecdr-An_Illincocha;Ecuador-Andean;
Ecdr-An_Toread;Ecuador-Andean;
Ecdr-An_Huarmcch;Ecuador-Andean;
Ecdr-An_Caricoha;Ecuador-Andean;
Ecdr-An_Limpipng;Ecuador-Andean;
Ecdr-An_Quilotoa;Ecuador-Andean;
Ecdr-An_SanMarcs;Ecuador-Andean;
Ecdr-An_Papallct;Ecuador-Andean;
Ecdr-An_Pucacoch;Ecuador-Andean;
Ecdr-An_Yanacoch;Ecuador-Andean;
Ecdr-An_Cochabmb;Ecuador-Andean;
Ecdr-An_Anteojos;Ecuador-Andean;
Ecdr-An_Culbrlls;Ecuador-Andean;
Ecdr-An_LaCiénag;Ecuador-Andean;
Ecdr-An_Llaviacu;Ecuador-Andean;
Ecdr-An_Pisayamb;Ecuador-Andean;
Ecdr-An_Cañarpnd;Ecuador-Andean;
Ecdr-An_Tambo;Ecuador-Andean;
Ecdr-In_L.Ygrcch;Ecuador-Interandean;
Ecdr-In_Cuicocha;Ecuador-Interandean;
Ecdr-In_Guangopl;Ecuador-Interandean;
Ecdr-In_Conru;Ecuador-Interandean;
Ecdr-In_L.SanPbl;Ecuador-Interandean;
Ecdr-In_Zuleta;Ecuador-Interandean;
Ecdr-In_Yambo;Ecuador-Interandean;
Ecdr-In_La Moya;Ecuador-Interandean;
Ecdr-In_Rumtum;Ecuador-Interandean;
Ecdr-In_SanAnton;Ecuador-Interandean;
Ecdr-In_Colta;Ecuador-Interandean;
Ecdr-In_Uzhupud;Ecuador-Interandean;
Ecdr-Cs_SanGernm;Ecuador-Coastal;
Ecdr-Cs_Tinaland;Ecuador-Coastal;
Ecdr-Cs_Lemna;Ecuador-Coastal;
Ecdr-Cs_Dckwdpnd;Ecuador-Coastal;
Ecdr-Cs_EsmrldsL;Ecuador-Coastal;
Ecdr-Cs_DosHrmns;Ecuador-Coastal;
Ecdr-Cs_Wtrfllpn;Ecuador-Coastal;
Ecdr-Am_Caimncch;Ecuador-Amazonia;
Ecdr-Am_Macurcch;Ecuador-Amazonia;
Ecdr-Am_Cuyabeno;Ecuador-Amazonia;
Ecdr-Am_Mateocch;Ecuador-Amazonia;
Ecdr-Am_SantCecl;Ecuador-Amazonia;
Ecdr-Am_PetrolP.;Ecuador-Amazonia;
Ecdr-Am_TexacPnd;Ecuador-Amazonia;
Ecdr-Am_L. Agrio;Ecuador-Amazonia;
Ecdr-Am_Limnncch;Ecuador-Amazonia;
Ecdr-Am_Mandicch;Ecuador-Amazonia;
Ecdr-Am_Taracoa;Ecuador-Amazonia;
Ecdr-Am_Garzacch;Ecuador-Amazonia;
Ecdr-Am_Zancdcch;Ecuador-Amazonia;
Ecdr-Am_Añangcch;Ecuador-Amazonia;
Ecdr-Am_Pecari;Ecuador-Amazonia;
Ecdr-Am_Puyo;Ecuador-Amazonia;
Ecdr-Am_Ayauchi;Ecuador-Amazonia;
Ecdr-Am_L.Kumpak;Ecuador-Amazonia;
Shnc-WA_IbirzRvr;Sehuencas-WesternAndes;
Shnc-WA_Stream 1;Sehuencas-WesternAndes;
Shnc-WA_Stream 2;Sehuencas-WesternAndes;
Shnc-WA_ShncsRvr;Sehuencas-WesternAndes;
Shnc-WA_Stream 4;Sehuencas-WesternAndes;
Srt-WsA_Stream29;Sorata-WesternAndes;
Srt-WsA_Stream30;Sorata-WesternAndes;
Srt-WsA_Stream32;Sorata-WesternAndes;
Srt-WsA_Stream31;Sorata-WesternAndes;
Srt-WsA_Stream28;Sorata-WesternAndes;
Srt-WsA_Stream27;Sorata-WesternAndes;
Srt-WsA_Stream33;Sorata-WesternAndes;
Vldr-SL_Canapa;Sud Lipez;
