Code;R;H;N;O;S;T;M;Taxon;Author(s);Synonyms (numbers between [] refer to different interpretations in taxainfo.nl);References for identification
ACZA;5;1;1;1;1;5;1;Acanthoceras zachariasii;(J.-J. Brun) R. Simonsen 1979;Attheya zachariasii;118
AAGU;5;5;-;-;-;-;-;Achnanthes angustata;R.K. Greville 1859;Achnanthes brevipes var. angustata;118
ABRE;5;5;-;-;-;5;2;Achnanthes brevipes;C.A. Agardh 1824;;"118; 326"
ACOA;3;1;1;1;1;2;5;Achnanthes coarctata;(L.A. de Brébisson) A. Grunow in H.F. van Heurck 1880;;118
ACVR;4;7;-;-;-;-;-;Achnanthes curvirostrum;J.-J. Brun 1895;;"118; 326"
AFOG;-;3;-;-;-;-;-;Achnanthes fogedii;H. Håkansson 1978;;"253; 326"
AIEL;-;2;-;-;-;-;-;Achnanthes inflata;(F.T. Kützing) A. Grunow in H.F. van Heurck 1880;;118
AINT;5;4;-;-;-;5;3;Achnanthes intermedia;F.T. Kützing 1833;Achnanthes brevipes var. intermedia;"118; 326"
ALON;5;6;-;-;-;-;1;Achnanthes longipes;C.A. Agardh 1824;;"118; 326"
AMIS;4;2;-;-;-;-;-;Achnanthes minuscula;F. Hustedt 1945;;118
APAR;4;4;1;-;-;5;3;Achnanthes parvula;F.T. Kützing 1844;Achnanthes brevipes var. parvula;"118; 326"
APLC;4;5;-;-;-;-;-;Achnanthes placentuloides;(N.A. Guslakov) A. Witkowski et H. Lange-Bertralot in A. Witkowski, H. Lange-Bertalot et D. Metzeltin 2000;;326
APGR;5;5;-;-;-;-;-;Achnanthes pseudogroenlandica;N.I. Hendey 1964;;326
APPU;4;5;-;-;-;-;-;Achnanthes pseudopunctulata;R. Simonsen 1959;;326
ASHU;3;2;-;-;-;-;-;Achnanthes subhudsonis;F. Hustedt 1921;;"143; 152"
AVIS;5;4;-;-;-;-;-;Achnanthes vistulana;A. Witkowski 1994;;"325; 326"
ACAF;4;2;-;-;1;4;-;Achnanthidium affine;(F.T. Kützing) D.B. Czarnecki 1994;"Achnanthes minutissima var. affinis; Achnanthes affinis [1]";"35; 118; 152"
ADAM;4;2;-;1;3;5;-;Achnanthidium atomoides;O. Monnier, H. Lange-Bertalot et L. Ector in O. Monnier, H. Lange-Bertalot, F. Rimet, L. Hoffman et L. Ector 2004;;181
ADCA;3;2;1;1;1;1;-;Achnanthidium caledonicum;(H. Lange-Bertalot in H. Lange-Bertalot et G. Moser) H. Lange-Bertalot 1999 s. str. (ICN: nom. inval);"Achnanthes minutissima var. scotica; Achnanthes caledonica [1]; Achnanthes scotica [2]; Achnanthes microcephala f. scotica; Achnanthidium caledonicum [2]; Achnanthidium minutissimum var. scoticum";"101; 141; 152"
ADCT;4;2;-;-;-;4;-;Achnanthidium catenatum;(J. Bilý et P. Marvan) H. Lange-Bertalot in H. Lange-Bertalot et S.I. Genkal 1999;Achnanthes catenata;"118; 152; 284"
ADMO;5;3;1;1;2;5;3;Achnanthidium delmontii;F. Pérès, R. le-Cohu et A. Barthes in F. Pérès, A. Barthès, E. Ponton, M. Coste, L. Ten-Hague et R. Le-Cohu 2012;;"152; 208"
ADRU;4;2;1;1;2;5;3;Achnanthidium druartii;F. Rimet et A. Couté in F. Rimet, A. Couté, A. Piuz, V. Berthon et J.-C. Druart 2010;;230
ADEU;3;2;-;-;-;5;3;Achnanthidium eutrophilum;(H. Lange-Bertalot) H. Lange-Bertalot 1999;Achnanthes eutrophila;"138; 141; 152"
ADEX;5;2;1;1;1;2;-;Achnanthidium exile;(F.T. Kützing) P.A.C. Heiberg 1863;Achnanthes exilis;"118; 152"
ADGL;4;2;-;-;-;1;-;Achnanthidium gracillimum;(F. Meister) H. Lange-Bertalot in K. Krammer et H. Lange-Bertalot 2004;Achnanthes minutissima var. gracillima;"118; 152"
AHOF;3;1;1;1;1;1;-;Achnanthidium hoffmannii;B. van de Vijver, L. Ector, A. Mertens et A. Jarlman 2011;;282
ADJK;4;2;2;1;2;5;3;Achnanthidium jackii;G.L. Rabenhorst 1861;Achnanthes minutissima var. jackii ;"118; 152"
ADKR;2;1;1;1;1;1;-;Achnanthidium kranzii;(H. Lange-Bertalot) F.E. Round et L. Bukhtiyarova 1996;Achnanthes kranzii;"118; 152"
ACLI;3;1;1;1;1;2;-;Achnanthidium lineare;W. Smith 1855;"Achnanthes linearis [1]; Achnanthes minutissima var. inconspicua [1]; Rossithidium linearis";"118; 284; 298"
ADMA;3;2;-;1;2;-;3;Achnanthidium macrocephalum;(F. Hustedt) F.E. Round et L. Bukhtiyarova 1996;Achnanthes minutissima var. macrocephala;118
ADMC;4;2;2;1;2;5;3;Achnanthidium microcephalum;Kützing 1844;Achnanthes minutissima;284
ADMI;3;2;2;1;2;-;3;Achnanthidium minutissimum;(F.T. Kützing) D.B. Czarnecki 1994;"Achnanthes minutissima [1]; Achnanthes microcephala";"35; 101; 118; 152; 284"
ADNU;3;2;-;1;-;5;-;Achnanthidium nanum;(F. Meister) M.H. Novais et I. Jüttner in M.H. Novais,  I. Jüttner, B. Van de Vijver, M.M. Morais,  L. Hoffmann et L. Ector 2015;Achnanthes minutissima var. inconspicua [2];"118; 202; 284"
ADNM;4;2;1;1;1;1;-;Achnanthidium neomicrocephalum;H. Lange-Bertalot et F. Staab in K. Krammer et H. Lange-Bertalot 2004;Achnanthidium microcephalum [2];"101; 118; 152"
APEE;3;2;-;1;-;5;-;Achnanthidium peetersianum;C.E.Wetzel, I.Juttner & L.Ector in Wetzel et al. 2019;;318
APFI;4;2;-;-;2;5;-;Achnanthidium pfisteri;H. Lange-Bertalot in M. Werum et H. Lange-Bertalot 2004;;309
ADPL;3;1;1;1;1;1;-;Achnanthidium pseudolineare;B. van de Vijver, M.E. Novais et L. Ector in B. van de Vijver, L. Ector, M.E. Beltrami, M. De Haan, E. Falasco, D. Hlúbiková, A. Jarlman, M. Kelly, M.H. Novais et A.Z. Wojtal 2011;;298
ADPY;4;1;1;1;1;3;-;Achnanthidium pyrenaicum;(F. Hustedt) H. Kobayasi 1997;"Achnanthes biasolettiana [2]; Achnanthes linearis [2]";"102; 109; 152; 284"
ADRI;3;1;1;1;1;1;-;Achnanthidium rivulare;M.G. Potapova et K.C. Ponader 2004;;284
ADRK;4;1;1;1;1;2;-;Achnanthidium rosenstockii;(H. Lange-Bertalot) H. Lange-Bertalot in K. Krammer et H. Lange-Bertalot 2004;"Achnanthes rosenstockii; Achnanthes biasolettiana [3]; Psammothidium rosenstockii";"118; 152"
ADSA;3;2;4;5;5;6;-;Achnanthidium saprophilum;(H. Kobayasi et S. Mayama) F.E. Round et L. Bukhtiyarova 1996;Achnanthes minutissima var. saprophila;"152; 232; 284"
ADSB;4;2;-;-;-;4;3;Achnanthidium straubianum;(H. Lange-Bertalot) H. Lange-Bertalot 1999;Achnanthes straubiana;"102; 138; 141; 152; 284"
ADSU;2;1;1;1;1;1;-;Achnanthidium subatomus;(F. Hustedt) H. Lange-Bertalot 1999;Achnanthes biasolettiana var. subatomus;152
ASBL;4;1;1;1;1;2;-;Achnanthidium sublineare;B. van de Vijver, A. Jarlman et L. Ector in B. van de Vijver, L. Ector, M.E. Beltrami, M. De Haan, E. Falasco, D. Hlúbiková, A. Jarlman, M. Kelly, M.H. Novais et A.Z. Wojtal 2011;;"152; 309"
ADSL;-;4;-;-;-;-;-;Achnanthidium subsalsum;(J.B. Petersen) M. Aboal 2003;"Achnanthes subsalsa; Achnanthes subsalsoides";118
ADTE;3;3;-;2;1;-;-;Achnanthidium thermale;G.L. Rabenhorst 1864;"Achnanthes thermalis; Achnanthes biasolettiana [1]; Achnanthes gibberula; Achnanthes grimmei";118
ACCU;5;7;-;-;-;-;1;Actinocyclus curvatulus;C. Janisch in A. Schmidt 1878;"Coscinodiscus curvatulus; Coscinodiscus curvatulus var. minor";71
ADIV;-;-;-;-;-;-;1;Actinocyclus divisus;(A. Grunow) F. Hustedt 1958;Actinocyclus cholnokyi;90
ANMN;4;3;2;3;3;5;1;Actinocyclus normanii;(W. Gregory ex R.K. Greville) F. Hustedt ex S.L. VanLandingham 1967;"Actinocyclus normanii f. normanii; Actinocyclus normanii f/var. subsalsus; Coscinodiscus rothii f. minor; Coscinodiscus rothii var. normanii; Coscinodiscus rothii var. subsalsus; Coscinodiscus subsalsus";"66; 118"
AOCT;-;6;-;-;-;-;1;Actinocyclus octonarius;C.G. Ehrenberg 1837;Actinocyclus ehrenbergii;"51; 326"
AROP;-;6;-;-;-;-;1;Actinocyclus roperi;(L.A. de Brébisson) A. Grunow in H.F. van Heurck 1881;;"90; 326"
ASUB;-;6;-;-;-;-;1;Actinocyclus subtilis;(W. Gregory) J. Ralfs in A. Pritchard 1861;;326
ASEN;5;7;-;-;-;-;1;Actinoptychus senarius;(C.G. Ehrenberg) C.G. Ehrenberg 1843;"Actinocyclus senarius [1]; Actinoptychus undulatus; ";51
ASPL;5;6;-;-;-;-;1;Actinoptychus splendens;(G. Shadbolt) J. Ralfs in A. Pritchard 1861;;"66; 90"
AAQU;-;1;-;-;-;2;-;Adlafia aquaeductae;(G. Krasske) G. Moser, H. Lange-Bertalot et G. Metzeltin 1998;Navicula pupula var. aquaeductae;"134; 153"
ABKM;3;1;1;1;1;-;4;Adlafia brockmannii;(F. Hustedt) K. Brüder in K. Bruder et L.K. Medlin 2008;Navicula brockmannii;118
ABRY;3;1;1;1;1;3;5;Adlafia bryophila;(J.B. Petersen) G. Moser, H. Lange-Bertalot et D. Metzeltin 1998;Navicula bryophila;"134; 152; 196"
ADDT;-;2;1;-;1;-;-;Adlafia detenta;(F. Hustedt) D. Heudre, C.E. Wetzel et L. Ector in D. Heudre, C.E. Wetzel, L. Moreau et L. Ector 2018;Navicula detenta;118
ALBL;4;2;1;1;3;4;-;Adlafia lange-bertalotii;O. Monnier et L. Ector in O. Monnier, L. Ector, F. Rimet, M. Ferréol et L. Hoffmann 2012;;182
ADMS;4;1;1;1;2;1;4;Adlafia minuscula;(A. Grunow in H.F. Van Heurck) H. Lange-Bertalot in H. Lange-Bertalot et S.I. Genkal 1999;Navicula minuscula [1];"134; 152"
ADMM;4;2;3;3;4;5;3;Adlafia minuscula var. muralis;(A. Grunow in H.F. Van Heurck) H. Lange-Bertalot in H. Lange-Bertalot et S.I. Genkal 1999;"Navicula cloacina; Navicula minuscula var. muralis; Navicula muralis";"134; 152"
ADFS;4;2;-;-;1;4;5;Adlafia suchlandtii;(F. Hustedt) G. Moser, H. Lange-Bertalot et D. Metzeltin ex O. Monnier et L. Ector in O. Monnier, L. Ector, F. Rimet, M. Ferréol et L. Hoffmann 2012;Navicula suchlandtii;"134; 152; 196"
APEL;4;2;2;2;4;2;2;Amphipleura pellucida;(F.T. Kützing) F.T. Kützing 1844;;"118; 152"
AABL;4;4;-;-;-;-;-;Amphora abludens;R. Simonsen 1960;;"158; 326"
AAFI;3;2;-;-;-;4;-;Amphora affinis;F.T. Kützing 1844;Amphora ovalis var. affinis;"158; 199; 326"
AMAG;5;5;-;-;-;-;-;Amphora angusta;W. Gregory 1857;;9
AARL;5;5;-;-;-;-;-;Amphora arenicola;(A. Grunow) P.T. Cleve 1895;;"158; 199; 326"
ABAC;4;6;-;-;-;-;2;Amphora bacillaris;W. Gregory 1857;;304
AMBE;5;7;-;-;-;-;-;Amphora beaufortiana;F. Hustedt 1955;;"325; 326"
ACIM;4;2;-;-;-;5;-;Amphora cimbrica;E.V. Østrup 1910;;"158; 326"
ACIG;-;6;-;-;-;-;-;Amphora cingulata;P.T. Cleve in A. Schmidt et al. 1875;;158
AMCO;5;5;-;-;-;-;-;Amphora cognata;B.J. von Cholnoky 1960;;25
ACOM;4;4;-;-;-;5;3;Amphora commutata;A. Grunow in H.F. van Heurck 1880;;"118; 158; 326"
ACOP;4;2;2;2;2;5;1;Amphora copulata;(F.T. Kützing) F.R. Schoeman et R.E.M. Archibald 1986;Amphora libyca [2];"118; 152; 158; 199"
ACNF;-;2;-;-;-;-;-;Amphora cuneatiformis;Z. Levkov et S. Krstic in Z. Levkov 2009;;158
AMDL;-;5;-;-;-;-;-;Amphora delicatissima;G. Krasske 1930;;"118; 326"
AEXM;3;1;1;1;1;-;-;Amphora eximia;J.R. Carter in E.Y. Haworth 1974;Amphora fogediana [1];"152; 158; 326"
AGRF;4;6;-;-;-;-;-;Amphora graeffeana;N.I. Hendey 1973;;"158; 326"
AHLN;4;5;-;-;-;-;-;Amphora helenensis;M.H. Giffen 1973;;326
AHOD;-;4;-;-;-;-;-;Amphora holsaticoides;T. Nagumo et H. Kobayasi 1990;;326
AHYA;-;6;-;-;-;-;-;Amphora hyalina;F.T. Kützing 1844;;"158; 326"
AINA;3;2;-;-;2;-;-;Amphora inariensis;K. Krammer 1980;;"118; 152; 158; 199"
AMID;4;2;2;2;2;5;-;Amphora indistincta;Z. Levkov 2009;;"152; 158"
AMLA;5;6;-;-;-;-;-;Amphora laevis;W. Gregory 1857;;"66; 158; 326"
APLP;5;6;-;-;-;-;-;Amphora laevis var. perminuta;(W. Gregory) P.T. Cleve 1895;;307
AMLB;4;2;-;-;-;-;-;Amphora lange-bertalotii;Z. Levkov et D. Metzeltin in Z. Levkov 2009;;158
ALGT;2;2;-;-;-;-;4;Amphora lange-bertalotii var. tenuis;Z. Levkov et D. Metzeltin in Z. Levkov 2009;;158
ALIB;4;4;-;-;-;-;-;Amphora libyca;C.G. Ehrenberg ex F.T. Kützing 1844;Amphora ovalis var. libyca;"118; 158; 199"
ALNC;4;5;-;-;-;-;-;Amphora lineolata;C.G. Ehrenberg 1838;;"118; 256; 326"
AMNA;4;6;-;-;-;-;2;Amphora marina;W. Smith 1857;;"66; 158; 326"
AMCM;4;5;-;-;-;-;-;Amphora micrometra;M.H. Giffen 1967;;"158; 326"
AMNU;3;2;-;-;-;4;-;Amphora minutissima;W. Smith 1853;;158
ANGF;4;2;-;-;-;2;-;Amphora neglectiformis;Z. Levkov et M.B. Edlund in Z. Levkov 2009;Amphora inariensis [2];158
AMOS;-;7;-;-;-;-;-;Amphora ostrearia;L.A. de Brébisson ex F.T. Kützing 1844;;"158; 256; 326"
AOVA;4;3;2;2;2;5;1;Amphora ovalis;(F.T. Kützing) F.T. Kützing 1844;;"118; 152; 158; 199"
AOLT;4;2;-;-;-;5;-;Amphora ovalis var. tenuis;Z. Levkov 2009;;158
APED;4;2;3;2;3;5;3;Amphora pediculus;(F.T. Kützing) A. Grunow in A. Schmidt et al. 1875;"Amphora ovalis var. pediculus; Amphora perpusilla";"118; 152; 158; 199"
APIP;5;7;-;-;-;-;-;Amphora piper;B.J. von Cholnoky 1968;;326
APOT;5;4;-;-;-;5;-;Amphora polita;G. Krasske 1939;Amphora australiensis;158
APRO;5;5;-;-;-;-;-;Amphora proteus;W. Gregory 1857;;"66; 158"
APEX;3;2;1;1;1;2;-;Amphora pseudoeximia;Z. Levkov 2009;Amphora fogediana [2];158
APHO;5;5;-;-;-;-;-;Amphora pseudoholsatica;T. Nagumo et H. Kobayasi 1990;;326
APHY;5;6;-;-;-;-;-;Amphora pseudohyalina;R. Simonsen 1960;;326
APDM;4;2;-;-;-;5;-;Amphora pseudominutissima;Z. Levkov 2009;;158
AMPU;-;5;-;-;-;-;-;Amphora pusio;P.T. Cleve 1895;Amphora pusio;158
ARBU;5;6;-;-;-;-;-;Amphora robusta;W. Gregory 1857;;158
AMST;4;5;-;-;-;-;-;Amphora staurophora;H.J.B. Juhlin-Dannfelt 1882;;326
AMSG;5;4;-;-;-;5;-;Amphora strigosa;F. Hustedt 1949;;326
ASAC;4;5;-;-;-;5;-;Amphora subacutiuscula;F.R. Schoeman 1972;;326
ATER;-;5;-;-;-;-;-;Amphora terroris;C.G. Ehrenberg 1853;;"66; 326"
ATWE;4;2;-;-;-;-;-;Amphora twenteana;K. Krammer 2003;;117
AWIS;4;-;-;-;-;-;-;Amphora wisei;(M.M. Salah) R. Simonsen 1962;;326
ANMI;5;2;-;-;-;-;-;Aneumastus minor;H. Lange-Bertalot 1993;Navicula tuscula f. minor;"134; 152"
ANRO;5;3;-;-;-;-;-;Aneumastus rostratus;(F. Hustedt) H. Lange-Bertalot 2001;Aneumastus tusculoides;134
ANSS;5;2;1;1;1;4;1;Aneumastus stroesei;(E.V. Østrup) D.G. Mann in F.E. Round, R.M. Crawford et D.G. Mann 1990;"Navicula pseudotuscula; Navicula tuscula [2]";"134; 152; 233"
ANTU;5;2;-;-;2;-;1;Aneumastus tusculus;(C.G. Ehrenberg) D.G. Mann et A.J. Stickle in F.E. Round, R.M. Crawford et D.G. Mann 1990;Navicula tuscula [1];"152; 233"
ASPH;5;3;2;4;3;5;3;Anomoeoneis sphaerophora;(C.G. Ehrenberg) E.H.H. Pfitzer 1871;"Anomoeoneis sphaerophora var. guentheri; A. sphaerophora var. sculpta; A. sphaerophora f. sculpta; A. sphaerophora f. costata";"118; 152"
ACRY;5;6;-;-;-;-;2;Ardissonia crystallina;(C.A. Agardh) A. Grunow 1880;Synedra crystallina;326
ABHD;5;6;-;-;-;-;-;Astartiella bahuensoides;(N. Foged) A. Witkowski, H. Lange-Bertalot et D. Metzeltin 2000;;326
ABHS;-;5;-;-;-;-;-;Astartiella bahusiensis;(A. Grunow) A. Witkowski, H. Lange-Bertalot et D. Metzeltin in G. Moser, H. Lange-Bertalot et D. Metzeltin 1998;"Achnanthes bahusiensis; Navicula bahusiensis";"118; 152; 196; 326"
ABMY;-;5;-;-;-;-;-;Astartiella bremeyeri;(H. Lange-Bertalot) A. Witkowski, H. Lange-Bertalot et D. Metzeltin 1998;Achnanthes bremeyeri;"118; 143; 326"
AFOR;4;2;2;2;2;4;1;Asterionella formosa;A.H. Hassall 1850;;118
AFAC;4;2;2;2;2;4;1;Asterionella formosa var. acaroides;E.J. Lemmermann 1906;;118
ARAL;-;1;-;-;-;-;-;Asterionella ralfsii;W. Smith 1856;;118
AGLA;5;7;-;-;-;-;-;Asterionellopsis glacialis;(F.S. Castracane degli Antelminelli) F.E. Round in F.E. Round, R.M. Crawford et D.G. Mann 1990;"Asterionella glacialis; Asterionella japonica";233
ASPK;5;7;-;-;-;-;-;Asteroplanus kariana;(A. Grunow in P.T. Cleve et A. Grunow) C. Gardner et R.M. Crawford in R.M. Crawford et C. Gardner 1997;"Asterionella kariana; Asterionellopsis kariana";32
AUAL;2;1;1;1;1;1;1;Aulacoseira alpigena;(A. Grunow) K. Krammer 1991;Melosira distans var. alpigena;"83; 110; 118"
AAMB;4;2;2;3;2;5;1;Aulacoseira ambigua;(A. Grunow) R. Simonsen 1979;Melosira ambigua;"83; 118"
AUCR;3;1;1;1;1;1;2;Aulacoseira crenulata;(C.G. Ehrenberg) G.H.K. Thwaites 1848;;"83; 118"
AUDI;2;1;1;1;1;1;1;Aulacoseira distans;(C.G. Ehrenberg) R. Simonsen 1979;Melosira distans;"83; 118"
AUGR;4;2;2;3;2;5;1;Aulacoseira granulata;(C.G. Ehrenberg) R. Simonsen 1979;"Melosira granulata; Melosira granulata var. curvata";"83; 85; 118"
AUGA;4;2;2;3;2;5;1;Aulacoseira granulata var. angustissima;(G.F.O. Müller) R. Simonsen 1979;Melosira granulata var. angustissima;"83; 118"
AUIS;3;1;2;2;2;-;1;Aulacoseira islandica;(G.F.O. Müller) R. Simonsen 1979;Melosira islandica;"83; 118"
AUIT;3;2;2;2;2;4;3;Aulacoseira italica;(C.G. Ehrenberg) R. Simonsen 1979;Melosira italica;"83; 118"
AITE;-;2;-;-;-;-;3;Aulacoseira italica var. tenuissima;(A. Grunow) R. Simonsen 1979;;"83; 118"
AULV;2;1;-;-;-;-;1;Aulacoseira laevissima;(A. Grunow) K. Krammer 1990;;85
ALIR;2;1;-;-;-;-;-;Aulacoseira lirata;(C.G. Ehrenberg) R. Ross in B. Hartley 1986;;"83; 118"
AMUZ;-;1;-;-;-;-;2;Aulacoseira muzzanensis;(F. Meister) K. Krammer 1991;Melosira granulata var. muzzanensis;"83; 118"
ANIV;2;1;1;1;1;1;3;Aulacoseira nivalis;(W. Smith) J. English et M. Potapova 2009;Aulacoseira distans var. nivalis;"83; 118"
AUNY;2;1;-;-;-;-;-;Aulacoseira nygaardii;(K.E. Camburn) K.E. Camburn et D.F. Charles 2000;;"21; 247"
AUPE;-;1;-;-;-;1;-;Aulacoseira perglabra;(E.V. Østrup) E.Y. Haworth 1988;;"83; 118"
AUPF;2;1;1;1;1;1;2;Aulacoseira pfaffiana;(P.F. Reinsch in G.L. Rabenhorst) K. Krammer 1990;Melosira distans var. africana;"83; 118"
AUPU;4;2;-;-;-;-;-;Aulacoseira pusilla;(F. Meister) A. Tuji et A. Houki 2004;Aulacoseira subborealis;"42; 85"
AUSU;2;1;1;1;1;2;1;Aulacoseira subarctica;(G.F.O. Müller) E. Haworth 1988;Melosira italica ssp. subarctica;118
ASRE;2;1;1;1;1;2;1;Aulacoseira subarctica f. recta;(G.F.O. Müller) K. Krammer 1991;;118
AUTL;2;1;1;1;1;1;-;Aulacoseira tenella;(G. Nygaard) R. Simonsen 1979;;83
AUVA;2;1;1;1;1;1;1;Aulacoseira valida;(A. Grunow in H.F. van Heurck) K. Krammer 1990;;"83; 118"
BPAX;5;4;2;4;3;5;3;Bacillaria paxillifer;(O.F. Müller) N.I. Hendey 1951;Bacillaria paradoxa;"66; 118; 152"
BSOC;4;7;-;-;-;-;-;Bacillaria socialis;(W. Gregory) J. Ralfs in A. Pritchard 1861;Nitzschia socialis;"262; 326"
BDLC;5;7;-;-;-;-;1;Bacteriastrum delicatulum;P.T. Cleve 1897;;66
BFUR;5;7;-;-;-;-;1;Bacteriastrum furcatum;G. Shadbolt 1854;;66
BHYL;5;7;-;-;-;-;1;Bacteriastrum hyalinum;H.S. Lauder 1864;;66
BMAL;5;7;-;-;-;-;1;Bellerochea malleus;(T. Brightwell) H.F. van Heurck 1885;;51
BFEN;5;5;-;-;-;-;-;Berkeleya fennica;H.J.B. Juhlin-Dannfelt 1882;;326
BRUT;4;4;-;-;-;5;2;Berkeleya rutilans;(J.F. Trentepohl ex A.G. Roth) A. Grunow 1868;Amphipleura rutilans;"66; 118; 152; 326"
BALT;5;7;-;-;-;-;1;Biddulphia alternans;(J.W. Bailey) H.F. van Heurck 1883;Triceratium alternans;"66; 326"
BBID;5;7;-;-;-;-;-;Biddulphia biddulphiana;(J.E. Smith) C.S. Boyer 1901;Biddulphia pulchella;326
BCIR;5;4;-;-;-;-;-;Biremis circumtexta;(F. Meister ex F. Hustedt) H. Lange-Bertalot et A. Witkowski in A. Witkowski, H. Lange-Bertalot et D. Metzeltin 2000;Navicula circumtexta;326
BLUC;4;5;-;-;-;-;-;Biremis lucens;(F. Hustedt) K. Sabbe, A. Witkowski et W. Vyverman 1995;Navicula lucens;"238; 326"
BBRE;2;1;1;2;1;1;3;Brachysira brebissonii;R. Ross in B. Hartley 1986;"Anomoeoneis brachysira; Anomoeoneis brachysira var. thermalis";"140; 152; 306"
BGAR;2;1;1;1;1;1;2;Brachysira garrensis;(H. Lange-Bertalot et K. Krammer) H. Lange-Bertalot in H. Lange-Bertalot et G. Moser 1994;;140
BMIC;2;1;1;1;1;3;2;Brachysira microcephala;(A. Grunow) P. Compère 1986;Brachysira procera;"140; 152; 305"
BNEG;3;1;1;1;1;2;2;Brachysira neglectissima;H. Lange-Bertalot in M. Werum et H. Lange-Bertalot 2004;;"152; 305"
BNEO;3;2;1;2;1;2;2;Brachysira neoexilis;H. Lange-Bertalot in H. Lange-Bertalot et G. Moser 1994;"Anomoeoneis exilis; Navicula exilis [2]";"140; 152; 305"
BSER;1;1;1;2;1;1;2;Brachysira serians;(L.A. de Brébisson ex F.T. Kützing) F.E. Round et D.G. Mann 1981;Anomoeoneis serians;"140; 152; 306"
BSTY;5;2;1;1;1;1;3;Brachysira styriaca;(A. Grunow) R. Ross in B. Hartley 1986;Anomoeoneis styriaca;"140; 150; 152"
BVIT;5;2;1;1;1;1;-;Brachysira vitrea;(A. Grunow) R. Ross in B. Hartley 1986;Anomoeoneis vitrea;"140; 152; 301"
BWYG;1;1;1;2;1;1;-;Brachysira wygaschii;H. Lange-Bertalot in H. Lange-Bertalot et G. Moser 1994;;"140; 152; 306"
BBOE;-;4;-;-;-;-;-;Brebissonia boeckii;(C.G. Ehrenberg) E. O'Meara 1875;;"51; 326"
BLAN;-;4;-;-;-;-;-;Brebissonia lanceolata;(C.A. Agardh) R.K. Mahoney et C.W. Reimer 1986;;"233; 326"
BBRO;-;6;-;-;-;-;-;Brockmanniella brockmannii;(F. Hustedt) G.R. Hasle, H.A. von Stosch et E.E. Syvertsen 1983;"Navicula brockmannii; Plagiogramma brockmannii";"152; 233"
CAER;3;1;-;-;-;-;5;Caloneis aerophila;W. Bock 1963;;"118; 152"
CAPS;4;2;1;1;1;3;3;Caloneis alpestris;(A. Grunow) P.T. Cleve 1894;;"118; 152"
CAMP;4;3;2;3;3;5;3;Caloneis amphisbaena;(J.-B.G.M. Bory de Saint-Vincent ) P.T. Cleve 1894;;"118; 152; 326"
CASS;4;4;2;3;3;5;3;Caloneis amphisbaena f. subsalina;(A.S. Donkin) A. van der Werff et H. Huls 1957;"Caloneis amphisbaena var. aequata; Caloneis amphisbaena var. subsalina; Caloneis subsalina";"118; 326"
CABC;-;2;-;-;-;-;-;Caloneis bacillaris;(W. Gregory) P.T. Cleve 1894;;118
CBAC;-;5;-;-;-;-;-;Caloneis bacillum;(A. Grunow) P.T. Cleve 1894;Caloneis lagerstedtii;"118; 152"
CCRS;5;6;-;-;-;-;-;Caloneis crassa;(W. Gregory) R. Ross in B. Hartley 1986;;326
CFON;5;2;1;1;1;4;4;Caloneis fontinalis;(A. Grunow) H. Lange-Bertalot et E. Reichardt in H. Lange-Bertalot et D. Metzeltin 1996;;"138; 152; 332"
CHYA;-;2;-;-;-;-;5;Caloneis hyalina;F. Hustedt 1938;;118
CLCT;4;2;1;2;2;4;2;Caloneis lancettula;(P. Schulz-Danzig) H. Lange-Bertalot et Witkowski in H. Lange-Bertalot et D. Metzeltin 1996;;152
CLTU;4;2;1;1;1;1;-;Caloneis latiuscula;(F.T. Kützing) P.T. Cleve 1894;;152
CLAU;3;1;1;1;1;1;-;Caloneis lauta;J.R. Carter et A.E. Bailey-Watts 1981;;118
CALE;3;1;1;1;1;2;4;Caloneis leptosoma;(A. Grunow) K. Krammer 1985;Pinnularia leptosoma;118
CLIM;-;2;-;-;-;-;-;Caloneis limosa;(F.T. Kützing) R.M. Patrick in R.M. Patrick et C.W. Reimer 1966;"Caloneis silicula var. limosa; Caloneis schumanniana var. biconstricta";118
CMCE;-;2;-;-;-;-;-;Caloneis macei;P. Fusey 1951;;333
CMOL;3;1;-;-;-;-;4;Caloneis molaris;(A. Grunow) K. Krammer 1985;;118
CPRM;4;3;-;-;-;5;-;Caloneis permagna;(J.W. Bailey) P.T. Cleve 1894;Caloneis amphisbaena var. fenzlii;118
CPUL;3;1;1;1;1;3;4;Caloneis pulchra;E. Messikommer 1927;;118
CSCH;4;2;-;-;-;-;5;Caloneis schroederi;F. Hustedt 1922;;118
CSHU;5;2;1;2;1;3;2;Caloneis schumanniana;(A. Grunow) P.T. Cleve 1894;;152
CSIL;4;2;1;2;1;4;1;Caloneis silicula;(C.G. Ehrenberg) P.T. Cleve 1894;Caloneis ventricosa;"118; 152"
CASC;4;2;-;-;-;-;-;Caloneis silicula var. curta;(A. Grunow) P.T. Cleve 1894;;118
CSMI;4;2;-;-;-;-;-;Caloneis silicula var. minuta;(A. Grunow) P.T. Cleve 1894;;118
CAST;4;2;1;2;1;4;1;Caloneis silicula var. truncata;(A. Grunow) A. Mayer 1912;;118
CSIT;4;2;1;2;1;4;1;Caloneis silicula var. truncatula;(A. Grunow) P.T. Cleve 1894;;118
