Code;R;H;N;O;S;T;M;Taxon;Author(s);Synonyms (numbers between [] refer to different interpretations in taxainfo.nl);References for identification
CDUB;5;3;2;2;3;5;1;Cyclostephanos dubius;(F. Fricke) F.E. Round in E.C. Theriot, H. Håkansson, J.P. Kociolek, F.E. Round et E.F. Stoermer 1988;Stephanodiscus dubius;"61; 118"
CINV;5;2;-;-;-;5;-;Cyclostephanos invisitatus;(M.H. Hohn et J. Hellerman) E. Theriot, E.F. Stoermer et H. Håkansson 1987;;"61; 118"
CTHO;5;2;-;-;-;5;-;Cyclostephanos tholiformis;E.F. Stoermer, H. Håkansson et E. Theriot 1987;;61
CATO;4;3;2;2;3;5;1;Cyclotella atomus;F. Hustedt 1937;;"61; 86; 118"
CAGR;4;3;-;-;-;5;1;Cyclotella atomus var. gracilis;S.I. Genkal et K.T. Kiss 1993;;"57; 86; 264"
CCHO;4;4;-;-;-;-;-;Cyclotella choctawhatcheeana;A.K.S.K. Prasad in A.K.S.K. Prasad, J.A. Nienow et R.J. Livingston 1990;Cyclotella hakanssoniae;"61; 118"
CCRY;4;3;-;-;-;-;1;Cyclotella cryptica;B.E.F. Reimann, J.M.C. Lewin et R.R.L. Guillard 1963;;"85; 86; 264"
CDTG;4;2;-;1;-;-;1;Cyclotella distinguenda;F. Hustedt 1927;"Cyclotella operculata; Cyclotella tecta";"61; 86; 118"
CGAM;2;1;-;-;-;-;1;Cyclotella gamma;H.E. Sovereign 1963;;"61; 86; 118"
CIIN;-;1;-;-;-;-;-;Cyclotella iris;J.-J. Brun et J. Héribaud 1893;;"86; 118"
CMED;4;2;-;-;-;5;1;Cyclotella meduanae;H. Germain 1981;;86
CMEN;4;3;3;5;4;5;2;Cyclotella meneghiniana;F.T. Kützing 1844;Cyclotella meneghiniana var. laevissima;"61; 86; 118"
CPLT;-;-;-;-;-;-;1;Cyclotella planctonica;J. Brunnthaler 1901;;118
CSCD;5;5;-;-;-;-;1;Cyclotella scaldensis;K. Muylaert et K. Sabbe 1996;;"86; 197"
CSTR;4;4;-;-;-;-;2;Cyclotella striata;(F.T. Kützing) A. Grunow in P.T. Cleve et A. Grunow 1880;;"61; 86"
CSTB;4;4;-;-;-;-;1;Cyclotella striata var. bipunctata;F. Fricke in A. Schmidt et al. 1900;;118
CYAP;4;2;-;-;-;-;1;Cymatopleura apiculata;W. Smith 1853;Cymatopleura solea var. apiculata;229
CELL;4;3;2;2;2;5;1;Cymatopleura elliptica;(L.A. de Brébisson ex F.T. Kützing) W. Smith 1851;Cymatopleura angulata;"118; 152"
CECO;4;3;2;2;2;5;1;Cymatopleura elliptica var. constricta;A. Grunow 1862;;118
CEHI;4;3;2;2;2;5;1;Cymatopleura elliptica var. hibernica;(W. Smith) H.F. van Heurck 1896;;118
CLIB;4;2;2;3;2;5;1;Cymatopleura librile;(C.G. Ehrenberg) J. Pantocsek 1901;Cymatopleura solea;"118; 152; 229"
CBEL;5;5;-;-;-;-;1;Cymatosira belgica;A. Grunow in H.F. van Heurck 1881;;"66; 152; 326"
CAFM;3;2;-;-;-;-;-;Cymbella affiniformis;K. Krammer 2002;;116
CAFF;4;2;1;1;2;5;2;Cymbella affinis;F.T. Kützing 1844;Cymbella tumidula;"116; 152"
